Address,Case Number,Crime Against,Neighborhood,Occur Date,Occur Month Year,Occur Time,Offense Category,Offense Count,Offense Type
,18-X5077598,Property,South Portland,4/19/2018,4/1/2018,1100,Larceny Offenses,1,Theft From Building
1500 BLOCK OF SW BROADWAY                                                                                         ,18-131991,Property,Downtown,4/22/2018,4/1/2018,257,Robbery,1,Robbery
2700 BLOCK OF N INTERSTATE AVE                                                                                    ,18-906147,Property,Eliot,4/19/2018,4/1/2018,2100,Larceny Offenses,1,Theft From Motor Vehicle
7600 BLOCK OF SE 18TH AVE                                                                                         ,18-906148,Property,Sellwood-Moreland,4/19/2018,4/1/2018,2200,Larceny Offenses,1,Theft From Motor Vehicle
SW OAK ST / SW BROADWAY,18-906175,Property,Downtown,4/20/2018,4/1/2018,2245,Larceny Offenses,1,All Other Larceny
9900 BLOCK OF SE WASHINGTON ST                                                                                    ,18-131450,Property,Hazelwood,4/21/2018,4/1/2018,1735,Larceny Offenses,1,All Other Larceny
2700 BLOCK OF NE COLUMBIA BLVD                                                                                    ,18-138708,Property,Sunderland,4/22/2018,4/1/2018,1229,Larceny Offenses,1,Theft From Motor Vehicle
200 BLOCK OF SE 47TH AVE                                                                                         ,18-906426,Property,North Tabor,4/21/2018,4/1/2018,2200,Larceny Offenses,1,Theft From Motor Vehicle
4900 BLOCK OF SE 104TH AVE                                                                                        ,18-140882,Property,Lents,4/28/2018,4/1/2018,2300,Motor Vehicle Theft,1,Motor Vehicle Theft
1700 BLOCK OF NE 11TH AVE                                                                                         ,18-906515,Property,Irvington,4/27/2018,4/1/2018,900,Vandalism,1,Vandalism
8300 BLOCK OF SE MCLOUGHLIN BLVD                                                                                  ,18-135353,Property,Ardenwald,4/24/2018,4/1/2018,715,Larceny Offenses,1,All Other Larceny
SE 104TH AVE / SE BUSH ST,18-906596,Property,Lents,4/20/2018,4/1/2018,1645,Larceny Offenses,1,All Other Larceny
100 BLOCK OF SW COLUMBIA ST                                                                                      ,18-801492,Property,Downtown,4/17/2018,4/1/2018,1030,Larceny Offenses,1,Theft From Building
5700 BLOCK OF SW MULTNOMAH BLVD                                                                                   ,18-131632,Property,Maplewood,4/21/2018,4/1/2018,2024,Fraud Offenses,1,False Pretenses/Swindle/Confidence Game
5700 BLOCK OF SW MULTNOMAH BLVD                                                                                   ,18-131632,Property,Maplewood,4/21/2018,4/1/2018,2024,Fraud Offenses,1,Identity Theft
2300 BLOCK OF SE 82ND AVE                                                                                         ,18-907252,Property,Montavilla,4/29/2018,4/1/2018,1200,Larceny Offenses,1,All Other Larceny
NW 11TH AVE / NW DAVIS ST,18-906643,Property,Pearl,4/27/2018,4/1/2018,1000,Larceny Offenses,1,Theft From Motor Vehicle
2800 BLOCK OF N LOMBARD ST                                                                                        ,18-129191,Property,Kenton,4/19/2018,4/1/2018,1855,Larceny Offenses,1,Shoplifting
300 BLOCK OF SW OAK ST                                                                                           ,18-133497,Property,Downtown,2/2/2018,2/1/2018,0,Larceny Offenses,1,All Other Larceny
SE MARKET ST / SE MARTIN LUTHER KING JR BLVD,18-136205,Property,Hosford-Abernethy,4/25/2018,4/1/2018,1258,Fraud Offenses,1,False Pretenses/Swindle/Confidence Game
SW 1ST AVE / SW ASH ST,18-137861,Society,Old Town/Chinatown,4/26/2018,4/1/2018,1750,Drug/Narcotic Offenses,1,Drug/Narcotic Violations
10200 BLOCK OF N EXPO RD                                                                                           ,18-138016,Property,Kenton,4/26/2018,4/1/2018,900,Motor Vehicle Theft,1,Motor Vehicle Theft
200 BLOCK OF SW NAITO PKWY                                                                                       ,18-134449,Property,Old Town/Chinatown,4/24/2018,4/1/2018,345,Burglary,1,Burglary
1800 BLOCK OF SW BROADWAY                                                                                         ,18-906322,Property,Downtown,4/24/2018,4/1/2018,20,Larceny Offenses,1,Theft From Motor Vehicle
4700 BLOCK OF SE BELMONT ST                                                                                       ,18-139294,Property,Sunnyside,4/27/2018,4/1/2018,1900,Larceny Offenses,1,Shoplifting
16900 BLOCK OF SE NAEGELI DR                                                                                       ,18-906400,Property,Centennial,4/25/2018,4/1/2018,15,Larceny Offenses,1,Theft From Motor Vehicle
SW HIGHLAND RD / SW FAIRVIEW BLVD,18-906416,Property,Sylvan-Highlands,4/24/2018,4/1/2018,2300,Larceny Offenses,1,Theft From Motor Vehicle
400 BLOCK OF N SHAVER ST                                                                                         ,18-138931,Property,Boise,4/25/2018,4/1/2018,1200,Fraud Offenses,1,False Pretenses/Swindle/Confidence Game
6300 BLOCK OF N LOMBARD ST                                                                                        ,18-906532,Property,University Park,4/24/2018,4/1/2018,2129,Larceny Offenses,1,Shoplifting
6700 BLOCK OF NE ROSELAWN ST                                                                                      ,18-906546,Property,Cully,4/7/2018,4/1/2018,1345,Larceny Offenses,1,All Other Larceny
11500 BLOCK OF SE HAWTHORNE BLVD                                                                                   ,18-133926,Society,Mill Park,4/23/2018,4/1/2018,1800,Drug/Narcotic Offenses,1,Drug/Narcotic Violations
9600 BLOCK OF SE STEELE ST                                                                                        ,18-137920,Property,Lents,3/26/2018,3/1/2018,1824,Motor Vehicle Theft,1,Motor Vehicle Theft
NW 13TH AVE / NW HOYT ST,18-906451,Property,Pearl,4/23/2018,4/1/2018,1930,Larceny Offenses,1,Theft From Motor Vehicle
700 BLOCK OF SE 128TH AVE                                                                                        ,18-133776,Property,Mill Park,4/23/2018,4/1/2018,230,Vandalism,1,Vandalism
2100 BLOCK OF NE 142ND AVE                                                                                        ,18-906254,Property,Russell,4/13/2018,4/1/2018,2155,Larceny Offenses,1,Theft From Motor Vehicle
14600 BLOCK OF SE STARK ST                                                                                         ,18-135771,Property,Hazelwood,4/25/2018,4/1/2018,320,Vandalism,1,Vandalism
10900 BLOCK OF SE STARK ST                                                                                         ,18-140018,Property,Mill Park,4/27/2018,4/1/2018,2000,Larceny Offenses,1,Theft From Motor Vehicle
1900 BLOCK OF NE WEIDLER ST                                                                                       ,18-138761,Property,Sullivan's Gulch,4/27/2018,4/1/2018,1040,Fraud Offenses,1,Hacking/Computer Invasion
1900 BLOCK OF NE WEIDLER ST                                                                                       ,18-138761,Property,Sullivan's Gulch,4/27/2018,4/1/2018,1040,Fraud Offenses,1,False Pretenses/Swindle/Confidence Game
1400 BLOCK OF N MARINE DR                                                                                         ,18-906516,Property,Bridgeton,4/20/2018,4/1/2018,723,Larceny Offenses,1,All Other Larceny
8200 BLOCK OF NE GOING ST                                                                                         ,18-142233,Society,Sumner,4/30/2018,4/1/2018,1203,Drug/Narcotic Offenses,1,Drug/Narcotic Violations
7500 BLOCK OF SW BARBUR BLVD                                                                                      ,18-906622,Property,Hillsdale,4/28/2018,4/1/2018,1400,Larceny Offenses,1,Theft From Building
N COMMERCIAL AVE / N RUSSELL ST,18-906626,Property,Eliot,4/17/2018,4/1/2018,1830,Larceny Offenses,1,Theft From Motor Vehicle
300 BLOCK OF NE 66TH AVE                                                                                         ,18-906631,Property,North Tabor,4/28/2018,4/1/2018,1426,Larceny Offenses,1,All Other Larceny
600 BLOCK OF SW MORRISON ST                                                                                      ,18-142237,Property,Downtown,4/30/2018,4/1/2018,1209,Fraud Offenses,1,False Pretenses/Swindle/Confidence Game
1800 BLOCK OF NE 33RD AVE                                                                                         ,18-906682,Property,Grant Park,4/30/2018,4/1/2018,1450,Larceny Offenses,1,All Other Larceny
4100 BLOCK OF NE AINSWORTH CT                                                                                     ,18-140345,Property,Concordia,4/28/2018,4/1/2018,1714,Vandalism,1,Vandalism
900 BLOCK OF LLOYD CENTER                                                                                        ,18-906671,Property,Lloyd,4/30/2018,4/1/2018,1305,Larceny Offenses,1,Shoplifting
9800 BLOCK OF SE WASHINGTON ST                                                                                    ,18-906547,Property,Hazelwood,4/27/2018,4/1/2018,1935,Larceny Offenses,1,All Other Larceny
7400 BLOCK OF N INTERSTATE AVE                                                                                    ,18-135145,Property,Arbor Lodge,4/24/2018,4/1/2018,1510,Larceny Offenses,1,Theft From Building
7400 BLOCK OF N INTERSTATE AVE                                                                                    ,18-135145,Property,Arbor Lodge,4/24/2018,4/1/2018,1510,Fraud Offenses,1,Identity Theft
9800 BLOCK OF SE WASHINGTON ST                                                                                    ,18-141122,Property,Hazelwood,4/28/2018,4/1/2018,2023,Larceny Offenses,1,Theft From Building
0 BLOCK OF SE MORRISON ST                                                                                      ,18-142703,Property,Buckman West,4/30/2018,4/1/2018,1914,Embezzlement,1,Embezzlement
1800 BLOCK OF SW BROADWAY                                                                                         ,18-906636,Property,Downtown,4/28/2018,4/1/2018,930,Vandalism,1,Vandalism
13800 BLOCK OF NE AIRPORT WAY                                                                                      ,18-906663,Property,Argay,4/30/2018,4/1/2018,700,Larceny Offenses,1,Theft of Motor Vehicle Parts or Accessories
1300 BLOCK OF SW PARK AVE                                                                                         ,18-56110,Property,Downtown,2/17/2018,2/1/2018,1256,Vandalism,1,Vandalism
NW 12TH AVE / NW COUCH ST,18-59548,Property,Pearl,2/20/2018,2/1/2018,1400,Larceny Offenses,1,Theft From Motor Vehicle
1000 BLOCK OF SE 69TH AVE                                                                                         ,18-58214,Property,Mt Tabor,2/18/2018,2/1/2018,2300,Vandalism,1,Vandalism
900 BLOCK OF NE 60TH AVE                                                                                         ,18-58256,Property,Rose City Park,2/19/2018,2/1/2018,1329,Vandalism,1,Vandalism
N WILLAMETTE BLVD / N BALTIMORE AVE,18-59562,Property,Cathedral Park,2/20/2018,2/1/2018,800,Motor Vehicle Theft,1,Motor Vehicle Theft
6800 BLOCK OF N ASTOR ST                                                                                          ,18-49258,Property,St Johns,2/11/2018,2/1/2018,1541,Vandalism,1,Vandalism
10900 BLOCK OF NE FLANDERS ST                                                                                      ,18-52331,Property,Hazelwood,2/14/2018,2/1/2018,850,Larceny Offenses,1,Theft From Motor Vehicle
2600 BLOCK OF SE 122ND AVE                                                                                        ,18-55661,Society,Powellhurst-Gilbert,2/17/2018,2/1/2018,1,Drug/Narcotic Offenses,1,Drug/Narcotic Violations
3500 BLOCK OF SE 16TH AVE                                                                                         ,18-51086,Property,Brooklyn,2/12/2018,2/1/2018,1700,Burglary,1,Burglary
9800 BLOCK OF SE FOSTER RD                                                                                        ,18-902519,Property,Lents,2/9/2018,2/1/2018,120,Larceny Offenses,1,Theft From Motor Vehicle
1100 BLOCK OF SW 19TH AVE                                                                                         ,18-49605,Property,Goose Hollow,2/11/2018,2/1/2018,1700,Larceny Offenses,1,Theft From Motor Vehicle
1100 BLOCK OF SW 19TH AVE                                                                                         ,18-49605,Property,Goose Hollow,2/11/2018,2/1/2018,1700,Vandalism,1,Vandalism
2000 BLOCK OF SE TENINO ST                                                                                        ,18-51230,Property,Sellwood-Moreland,2/12/2018,2/1/2018,2100,Larceny Offenses,1,All Other Larceny
7000 BLOCK OF NE ALDERWOOD RD                                                                                     ,18-902456,Property,,2/7/2018,2/1/2018,1155,Larceny Offenses,1,Theft From Motor Vehicle
4600 BLOCK OF N HAIGHT AVE                                                                                        ,18-902500,Property,Humboldt,2/5/2018,2/1/2018,850,Fraud Offenses,1,Identity Theft
